"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Block A","grouping","block a"
,,"basement","expanded","basement","block a"
,,"stairs ","expanded","stairs ","block a"
,,"retail","expanded","block a","retail"
,,"dan murphy's","expanded","block a","dan murphy's"
,,"level 1","expanded","level 1","block a"
,,"level 2","expanded","block a","level 2"
,,"level 3","expanded","block a","level 3"
,,"level 4","expanded","level 4","block a"
,,"level 5","expanded","level 5","block a"
,,"level 6","expanded","level 6","block a"
,,"Block B","grouping","block b"
,,"basement","expanded","basement","block b"
,,"stairs ","expanded","stairs ","block b"
,,"retail","expanded","retail","block b"
,,"woolworths","expanded","block b","woolworths"
,,"ground level","expanded","ground level","block b"
,,"level 1","expanded","level 1","block b"
,,"level 2","expanded","level 2","block b"
,,"level 3","expanded","block b","level 3"
,,"level 4","expanded","level 4","block b"
,,"level 5","expanded","level 5","block b"
,,"level 6","expanded","level 6","block b"
,,"Block C","grouping","block c"
,,"basement","expanded","basement","block c"
,,"stairs ","expanded","block c","stairs "
,,"retail","expanded","block c","retail"
,"Columns"
,,"Rough In",,"rough in"
,,"Cut Out",,"cut out"
,,"Fit Off",,"fit off"
,,"Commissioning",,"commissioning"

"Apartment Progress"
,"Scope",,
,"Rows"
,,"Block A - Level 1 - Apt.1",,"level 1","block a","apt.1"
,,"Block A - Level 1 - Apt.2",,"level 1","block a","apt.2"
,,"Block A - Level 1 - Apt.3",,"level 1","apt.3","block a"
,,"Block A - Level 1 - Apt.4",,"apt.4","level 1","block a"
,,"Block A - Level 1 - Apt.5",,"level 1","block a","apt.5"
,,"Block A - Level 1 - Apt.6",,"level 1","block a","apt.6"
,,"Block A - Level 1 - Apt.7",,"level 1","apt.7","block a"
,,"Block A - Level 1 - Apt.8",,"apt.8","level 1","block a"
,,"Block A - Level 2 - Apt.1",,"block a","level 2","apt.1"
,,"Block A - Level 2 - Apt.2",,"block a","level 2","apt.2"
,,"Block A - Level 2 - Apt.3",,"apt.3","block a","level 2"
,,"Block A - Level 2 - Apt.4",,"apt.4","block a","level 2"
,,"Block A - Level 2 - Apt.5",,"block a","level 2","apt.5"
,,"Block A - Level 2 - Apt.6",,"block a","level 2","apt.6"
,,"Block A - Level 2 - Apt.7",,"apt.7","block a","level 2"
,,"Block A - Level 2 - Apt.8",,"apt.8","block a","level 2"
,,"Block A - Level 2 - Apt.9",,"block a","level 2","apt.9"
,,"Block A - Level 2 - Apt.10",,"apt.10","block a","level 2"
,,"Block A - Level 2 - Apt.11",,"apt.11","block a","level 2"
,,"Block A - Level 2 - Apt.12",,"block a","level 2","apt.12"
,,"Block A - Level 2 - Apt.13",,"block a","level 2","apt.13"
,,"Block A - Level 2 - Apt.14",,"apt.14","block a","level 2"
,,"Block A - Level 2 - Apt.15",,"apt.15","block a","level 2"
,,"Block A - Level 2 - Apt.16",,"block a","level 2","apt.16"
,,"Block A - Level 2 - Apt.17",,"block a","level 2","apt.17"
,,"Block A - Level 2 - Apt.18",,"apt.18","block a","level 2"
,,"Block A - Level 2 - Apt.19",,"apt.19","block a","level 2"
,,"Block A - Level 2 - Apt.20",,"block a","level 2","apt.20"
,,"Block A - Level 2 - Apt.21",,"apt.21","block a","level 2"
,,"Block A - Level 2 - Apt.22",,"apt.22","block a","level 2"
,,"Block A - Level 2 - Apt.23",,"block a","level 2","apt.23"
