"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"B03 Apartments QA Overview"
,"Scope",,
,"Rows"
,,"Ground Level","grouping","b03","ground level"
,,"Apartment G71",,"b03","ground level","apartment g71"
,,"Apartment G72",,"b03","apartment g72","ground level"
,,"Apartment G73",,"apartment g73","b03","ground level"
,,"Apartment G74",,"b03","ground level","apartment g74"
,,"Apartment G75",,"b03","ground level","apartment g75"
,,"Apartment G76",,"b03","apartment g76","ground level"
,,"Apartment G77",,"apartment g77","b03","ground level"
,,"Apartment G78",,"b03","ground level","apartment g78"
,,"Level 1","grouping","b03","level 1"
,,"Apartment 171",,"b03","level 1","apartment 171"
,,"Apartment 172",,"b03","level 1","apartment 172"
,,"Apartment 173",,"b03","level 1","apartment 173"
,,"Apartment 174",,"apartment 174","b03","level 1"
,,"Apartment 175",,"b03","level 1","apartment 175"
,,"Apartment 176",,"b03","level 1","apartment 176"
,,"Apartment 177",,"b03","level 1","apartment 177"
,,"Apartment 178",,"apartment 178","b03","level 1"
,,"Apartment 179",,"b03","level 1","apartment 179"
,,"Apartment 180",,"b03","level 1","apartment 180"
,,"Apartment 181",,"apartment 181","b03","level 1"
,,"Apartment 182",,"b03","level 1","apartment 182"
,,"Apartment 183",,"b03","level 1","apartment 183"
,,"Apartment 184",,"b03","level 1","apartment 184"
,"Columns"
,,"Split HW",,"split hw"
,,"Extract Fan",,"extract fan"
,,"Kitch Ext",,"kitch ext"

"B04 Apartments QA Overview"
,"Scope",,
,"Rows"
,,"Ground Level","grouping","ground level"
,,"Apartment G85",,"ground level","apartment g85","b04"
,,"Apartment G86",,"ground level","apartment g86","b04"
,,"Apartment G87",,"apartment g87","ground level","b04"
,,"Apartment G88",,"apartment g88","ground level","b04"
,,"Apartment G89",,"ground level","apartment g89","b04"
,,"Apartment G90",,"apartment g90","ground level","b04"
,,"Apartment G91",,"apartment g91","ground level","b04"
,,"Apartment G92",,"ground level","apartment g92","b04"
,,"Level 1","grouping","level 1"
,,"Apartment 185",,"apartment 185","level 1","b04"
,,"Apartment 186",,"level 1","apartment 186","b04"
,,"Apartment 187",,"level 1","apartment 187","b04"
,,"Apartment 188",,"level 1","apartment 188","b04"
,,"Apartment 189",,"apartment 189","level 1","b04"
,,"Apartment 190",,"level 1","apartment 190","b04"
,,"Apartment 191",,"level 1","apartment 191","b04"
,,"Apartment 192",,"apartment 192","level 1","b04"
,,"Apartment 193",,"level 1","apartment 193","b04"
,,"Apartment 194",,"level 1","apartment 194","b04"
,,"Apartment 195",,"level 1","apartment 195","b04"
,,"Apartment 196",,"apartment 196","level 1","b04"
,,"Apartment 197",,"level 1","apartment 197","b04"
,,"Apartment 198",,"level 1","apartment 198","b04"
,"Columns"
,,"Split HW",,"split hw"
,,"Extract Fan",,"extract fan"
,,"Kitch Ext",,"kitch ext"

