"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Epoxy Flooring Progress"
,"Scope",,
,"Rows"
,,"Level B01","dynamic","level b01"
,"Columns"
,,"Area accessible & ready (If failed please take a photo)",,"area accessible & ready (if failed please take a photo)"
,,"Surface has been checked and confirmed acceptable",,"surface has been checked and confirmed acceptable"
,,"Has a bucket test been completed by others to ensure compliance falls to waste",,"has a bucket test been completed by others to ensure compliance falls to waste"
,,"Coving installed",,"coving installed"
,,"Primer (Ensure photo is taken)",,"primer (ensure photo is taken)"
,,"Correct curing time allowed 12 hr (Primer)",,"correct curing time allowed 12 hr (primer)"
,,"1st Coat (Ensure photo is taken)",,"1st coat (ensure photo is taken)"
,,"Correct curing time allowed 12hr (1st Coat)",,"correct curing time allowed 12hr (1st coat)"
,,"Ensure the correct grit has been installed to suit R value for project",,"ensure the correct grit has been installed to suit r value for project"
,,"2nd Coat (Ensure photo is taken)",,"2nd coat (ensure photo is taken)"
,,"Correct curing time allowed 12hr (2nd Coat)",,"correct curing time allowed 12hr (2nd coat)"
,,"Detailed areas such as pipe penetrations, pits, joints, pile capping installed as per specification",,"detailed areas such as pipe penetrations, pits, joints, pile capping installed as per specification"

"Expansion Joints  Progress"
,"Scope",,
,"Rows"
,,"Level 00 - Movement Joint",,"movement joint","level 00"
,,"Level 00 - Lathium Joint",,"level 00","lathium joint"
,"Columns"
,,"Area accessible & ready",,"area accessible & ready (if failed please take a photo)"
,,"Chase floor and install P5",,"chase floor and install p5"
,,"Install IB",,"install ib"
,,"Weld strips from P5 to P2 onto Wolfin IB",,"weld strips from p5 to p2 onto wolfin ib"
,,"Projects to signoff on installation (Wolfin)",,"projects to signoff on installation (wolfin)"

"Exposed Area & Planter Boxes Progress"
,"Scope",,
,"Rows"
,,"Level 00 - Podiums",,"level 00","podiums"
,,"Level 00 - Planter Box",,"level 00","planter box"
,,"Level 00 - A001",,"a001","level 00","planter boxes"
,,"Level 00 - A002",,"level 00","a002","planter boxes"
,,"Level 00 - E001",,"level 00","e001","planter boxes"
,,"Level 00 - E002",,"level 00","e002","planter boxes"
,,"Level 00 - E003",,"e003","level 00","planter boxes"
,,"Level 00 - F001",,"f001","level 00","planter boxes"
,,"Level 00 - F002",,"level 00","f002","planter boxes"
,,"Level 00 - F003",,"level 00","f003","planter boxes"
,,"Level 00 - TH-01",,"th-01","level 00","planter boxes"
,,"Level 00 - TH-02",,"level 00","th-02","planter boxes"
,,"Level 00 - TH-03",,"level 00","th-03","planter boxes"
,,"Level 00 - TH-04",,"level 00","th-04","planter boxes"
,,"Level 00 - TH-05",,"th-05","level 00","planter boxes"
,,"Level 00 - TH-06",,"level 00","th-06","planter boxes"
,,"Level 00 - TH-07",,"level 00","th-07","planter boxes"
,,"Level 00 - TH-08",,"level 00","th-08","planter boxes"
,,"Level 01 - B101",,"level 01","b101","planter boxes"
,,"Level 01 - B102",,"level 01","b102","planter boxes"
,,"Level 01 - B103",,"level 01","b103","planter boxes"
,,"Level 01 - C101",,"level 01","c101","planter boxes"
,,"Level 01 - D101",,"level 01","d101","planter boxes"
,,"Level 01 - D102",,"level 01","d102","planter boxes"
,,"Level 01 - D103",,"level 01","d103","planter boxes"
,,"Level 01 - D104",,"level 01","d104","planter boxes"
,,"Level 01 - D105",,"level 01","d105","planter boxes"
,,"Level 01 - E104",,"level 01","e104","planter boxes"
,,"Level 01 - TH-01",,"level 01","th-01","planter boxes"
,,"Level 01 - TH-02",,"level 01","th-02","planter boxes"
,,"Level 01 - TH-03",,"level 01","th-03","planter boxes"
,,"Level 01 - TH-04",,"level 01","th-04","planter boxes"
,,"Level 01 - TH-05",,"level 01","th-05","planter boxes"
,,"Level 01 - TH-06",,"level 01","th-06","planter boxes"
,,"Level 01 - TH-07",,"level 01","th-07","planter boxes"
,,"Level 01 - TH-08",,"level 01","th-08","planter boxes"
,,"Level 04 - E403",,"e403","level 04","planter boxes"
,,"Level 04 - E404",,"level 04","e404","planter boxes"
,,"Level 04 - F403",,"level 04","f403","planter boxes"
,,"Level 04 - F404",,"level 04","f404","planter boxes"
,,"Level 05 - E502",,"level 05","e502","planter boxes"
,,"Level 05 - E503",,"level 05","e503","planter boxes"
,,"Level 05 - F502",,"level 05","f502","planter boxes"
,,"Level 05 - F503",,"level 05","f503","planter boxes"
,,"Level 06 - A605",,"a605","level 06","planter boxes"
,,"Level 06 - A606",,"level 06","a606","planter boxes"
,,"Level 06 - D606",,"d606","level 06","planter boxes"
,,"Level 06 - D607",,"level 06","d607","planter boxes"
,,"Level 07 - A705",,"level 07","a705","planter boxes"
,,"Level 07 - A706",,"a706","level 07","planter boxes"
,,"Level 07 - D705",,"level 07","d705","planter boxes"
,,"Level 07 - D706",,"level 07","d706","planter boxes"
,,"Level 08 - A801",,"a801","level 08","planter boxes"
,,"Level 08 - A804",,"level 08","a804","planter boxes"
,,"Level 08 - B801",,"level 08","b801","planter boxes"
,,"Level 08 - B802",,"level 08","b802","planter boxes"
,,"Level 08 - B803",,"b803","level 08","planter boxes"
,,"Level 08 - B805",,"level 08","b805","planter boxes"
,,"Level 08 - C802",,"level 08","c802","planter boxes"
,,"Level 08 - D801",,"level 08","d801","planter boxes"
,,"Level 08 - D804",,"level 08","d804","planter boxes"
,,"Level 08 - Planter Box 1",,"level 08","planter box 1"
,,"Level 08 - Planter Box 2",,"level 08","planter box 2"
,"Columns"
,,"Area accessible & ready (If failed please take a photo)",,"area accessible & ready (if failed please take a photo)"
,,"Surface has been checked and confirmed acceptable",,"surface has been checked and confirmed acceptable"
,,"Has a bucket test been completed by others to ensure compliance falls to waste",,"has a bucket test been completed by others to ensure compliance falls to waste"
,,"Primer (Ensure photo is taken)",,"primer (ensure photo is taken)"
,,"Correct curing time allowed 1hr (Primer)",,"correct curing time allowed 1hr (primer)"
,,"Ensure joints are treated in accordance with post completion movement tolerances",,"ensure joints are treated in accordance with post completion movement tolerances"
,,"Caulking Preparation",,"caulking preparation"
,,"1st Coat (Ensure photo is taken)",,"1st coat (ensure photo is taken)"
,,"Correct curing time allowed 1hr (1st Coat)",,"correct curing time allowed 1hr (1st coat)"
,,"Detailed areas such as pipe penetrations, pits, penetrations by others, joints, pile capping installed",,"detailed areas such as pipe penetrations, pits, penetrations by others, joints, pile capping installed as per specification"
,,"Application to correct DFT (Ensure photo is taken)",,"application to correct dft (ensure photo is taken)"
,,"Correct curing time allowed 12hr (Silcor Top Coat 75)",,"correct curing time allowed 12hr (silcor top coat 75)"

"Balcony Progress"
,"Scope",,
,"Rows"
,,"Level 00 - A001",,"a001","level 00","balcony"
,,"Level 00 - A002",,"level 00","a002","balcony"
,,"Level 00 - E001",,"level 00","balcony","e001"
,,"Level 00 - E002",,"level 00","balcony","e002"
,,"Level 00 - E003",,"e003","level 00","balcony"
,,"Level 00 - F001",,"f001","level 00","balcony"
,,"Level 00 - F002",,"level 00","balcony","f002"
,,"Level 00 - F003",,"level 00","balcony","f003"
,,"Level 00 - TH-01",,"th-01","level 00","balcony"
,,"Level 00 - TH-02",,"level 00","th-02","balcony"
,,"Level 00 - TH-03",,"level 00","balcony","th-03"
,,"Level 00 - TH-04",,"level 00","balcony","th-04"
,,"Level 00 - TH-05",,"th-05","level 00","balcony"
,,"Level 00 - TH-06",,"level 00","th-06","balcony"
,,"Level 00 - TH-07",,"level 00","balcony","th-07"
,,"Level 00 - TH-08",,"level 00","balcony","th-08"
,,"Level 01 - A101",,"level 01","a101","balcony"
,,"Level 01 - A102",,"level 01","balcony","a102"
,,"Level 01 - A103",,"level 01","balcony","a103"
,,"Level 01 - A104",,"level 01","a104","balcony"
,,"Level 01 - B101",,"level 01","b101","balcony"
,,"Level 01 - B102",,"level 01","b102","balcony"
,,"Level 01 - B103",,"level 01","balcony","b103"
,,"Level 01 - C101",,"level 01","balcony","c101"
,,"Level 01 - D101",,"level 01","d101","balcony"
,,"Level 01 - D102",,"level 01","d102","balcony"
,,"Level 01 - D103",,"level 01","balcony","d103"
,,"Level 01 - D104",,"level 01","balcony","d104"
,,"Level 01 - D105",,"level 01","d105","balcony"
,,"Level 01 - E101",,"level 01","balcony","e101"
,,"Level 01 - E102",,"level 01","e102","balcony"
,,"Level 01 - E103",,"level 01","e103","balcony"
,,"Level 01 - E104",,"level 01","balcony","e104"
,,"Level 01 - F101",,"level 01","balcony","f101"
,,"Level 01 - F102",,"level 01","balcony","f102"
,,"Level 01 - F103",,"level 01","f103","balcony"
,,"Level 01 - TH-01",,"level 01","th-01","balcony"
,,"Level 01 - TH-02",,"level 01","th-02","balcony"
,,"Level 01 - TH-03",,"level 01","balcony","th-03"
,,"Level 01 - TH-04",,"level 01","balcony","th-04"
,,"Level 01 - TH-05",,"level 01","th-05","balcony"
,,"Level 01 - TH-06",,"level 01","th-06","balcony"
,,"Level 01 - TH-07",,"level 01","balcony","th-07"
,,"Level 01 - TH-08",,"level 01","balcony","th-08"
,,"Level 02 - A201",,"balcony","a201","level 02"
,,"Level 02 - A202",,"balcony","level 02","a202"
,,"Level 02 - A203",,"a203","balcony","level 02"
,,"Level 02 - A204",,"a204","balcony","level 02"
,,"Level 02 - A205",,"balcony","a205","level 02"
,,"Level 02 - A206",,"balcony","level 02","a206"
,,"Level 02 - B201",,"b201","balcony","level 02"
,,"Level 02 - B202",,"balcony","level 02","b202"
,,"Level 02 - B203",,"balcony","b203","level 02"
,,"Level 02 - B204",,"b204","balcony","level 02"
,,"Level 02 - B205",,"b205","balcony","level 02"
,,"Level 02 - C201",,"c201","balcony","level 02"
,,"Level 02 - C202",,"c202","balcony","level 02"
,,"Level 02 - C203",,"balcony","level 02","c203"
,,"Level 02 - C204",,"balcony","c204","level 02"
,,"Level 02 - D201",,"d201","balcony","level 02"
,,"Level 02 - D202",,"balcony","d202","level 02"
,,"Level 02 - D203",,"balcony","level 02","d203"
,,"Level 02 - D204",,"d204","balcony","level 02"
,,"Level 02 - D205",,"d205","balcony","level 02"
,,"Level 02 - D206",,"balcony","d206","level 02"
,,"Level 02 - E201",,"e201","balcony","level 02"
,,"Level 02 - E202",,"e202","balcony","level 02"
,,"Level 02 - E203",,"balcony","e203","level 02"
,,"Level 02 - E204",,"balcony","level 02","e204"
,,"Level 02 - F201",,"balcony","f201","level 02"
,,"Level 02 - F202",,"f202","balcony","level 02"
,,"Level 02 - F203",,"f203","balcony","level 02"
,,"Level 02 - F204",,"balcony","level 02","f204"
,,"Level 03 - A301",,"balcony","level 03","a301"
