"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress - Drainage"
,"Scope",,,"site qa","drainage"
,"Rows"
,,"Block 5A (North)","dynamic","drainage","site qa","block 5a (north)"
,,"Block 5A (South)","dynamic","drainage","block 5a (south)","site qa"
,,"Block 5B","dynamic","drainage","block 5b","site qa"
,"Columns"
,,"Install Sewer/Stormwater Drainage",,"install sewer/stormwater drainage"

"Overall Progress - Plumbing"
,"Scope",,,"site qa","plumbing"
,"Rows"
,,"Block 5A (North) - Lot 501","dynamic","site qa","lot 501","plumbing","block 5a (north)"
,,"Block 5A (North) - Lot 502","dynamic","site qa","lot 502","plumbing","block 5a (north)"
,,"Block 5A (North) - Lot 503","dynamic","site qa","plumbing","lot 503","block 5a (north)"
,,"Block 5A (North) - Lot 504","dynamic","site qa","plumbing","lot 504","block 5a (north)"
,,"Block 5A (North) - Lot 505","dynamic","site qa","plumbing","block 5a (north)","lot 505"
,,"Block 5A (North) - Lot 506","dynamic","lot 506","site qa","plumbing","block 5a (north)"
,,"Block 5A (North) - Lot 507","dynamic","lot 507","site qa","plumbing","block 5a (north)"
,,"Block 5A (North) - Lot 508","dynamic","lot 508","site qa","plumbing","block 5a (north)"
,,"Block 5A (South) - Lot 509","dynamic","site qa","lot 509","plumbing","block 5a (south)"
,,"Block 5A (South) - Lot 510","dynamic","lot 510","site qa","plumbing","block 5a (south)"
,,"Block 5A (South) - Lot 511","dynamic","lot 511","site qa","plumbing","block 5a (south)"
,,"Block 5A (South) - Lot 512","dynamic","site qa","lot 512","plumbing","block 5a (south)"
,,"Block 5A (South) - Lot 513","dynamic","site qa","lot 513","plumbing","block 5a (south)"
,,"Block 5A (South) - Lot 514","dynamic","site qa","plumbing","lot 514","block 5a (south)"
,,"Block 5A (South) - Lot 515","dynamic","site qa","plumbing","block 5a (south)","lot 515"
,,"Block 5B - Lot 516","dynamic","block 5b","site qa","plumbing","lot 516"
,,"Block 5B - Lot 517","dynamic","lot 517","block 5b","site qa","plumbing"
,,"Block 5B - Lot 518","dynamic","lot 518","block 5b","site qa","plumbing"
,,"Block 5B - Lot 519","dynamic","block 5b","lot 519","site qa","plumbing"
,,"Block 5B - Lot 520","dynamic","lot 520","block 5b","site qa","plumbing"
,,"Block 5B - Lot 521","dynamic","lot 521","block 5b","site qa","plumbing"
,,"Block 5B - Lot 522","dynamic","block 5b","lot 522","site qa","plumbing"
,,"Block 5B - Lot 523","dynamic","block 5b","site qa","lot 523","plumbing"
,,"Block 5B - Lot 524","dynamic","block 5b","site qa","lot 524","plumbing"
,,"Block 5B - Lot 525","dynamic","block 5b","site qa","plumbing","lot 525"
,,"Block 5B - Lot 526","dynamic","block 5b","site qa","plumbing","lot 526"
,"Columns"
,,"Hot Water",,"hot water"
,,"Cold Water",,"cold water"
,,"Recycled Water",,"recycled water"
,,"Gas",,"gas"
,,"Pump Services",,"pump services"
,,"Fire Services",,"fire services"
,,"Sewer",,"sewer"
,,"Storm Water",,"storm water"
,,"Vents",,"vents"
,,"Stacks",,"stacks"
,,"Waste",,"waste"
,,"Fit Off",,"fit off"

