"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Subcontractors"
,"Scope",,
,"Rows"
,,"Civil/ Site Works - Civil 401",,"civil/ site works - civil 401"
,,"Stage 1 - B01",,"stage 1 - b01"
,,"Stage 2 - THB01",,"stage 2 - thb01"
,,"Stage 2 - THB02, 03, 04, 05, 10, 12",,"stage 2 - thb02, 03, 04, 05, 10, 12"
,,"Stage 3 - THB11 & 13",,"stage 3 - thb11 & 13"
,,"Stage 4 - B02",,"stage 4 - b02"
,,"Stage 5 - B03",,"stage 5 - b03"
,,"Stage 6 - THB06, THB07, THB08, THB09",,"stage 6 - thb06, thb07, thb08, thb09"
,,"Stage 7 - THB14, 15, 16 & 17",,"stage 7 - thb14, 15, 16 & 17"
,,"Stage 8 - B04",,"stage 8 - b04"
,,"Stage 9 - B05 & B06",,"stage 9 - b05 & b06"
,,"Stage 10 - THB18 & 19",,"stage 10 - thb18 & 19"
,,"Tower Crane",,"tower crane"
,,"Stage 401",,"stage 401"
,,"Tunnel Works B02 - B03",,"tunnel works b02 - b03"
,"Columns"
,,"Accurate Ceilings",,"accurate ceilings - riccarton park"
,,"Adhesion Sealing",,"adhesion sealing - kevin hickman (riccarton park)"
,,"Advanced Exterior Plastering",,"aep - kevin hickman (riccarton park)"
,,"Aspire Joinery",,"aspire - kevin hickman (riccarton park)"
,,"Aquacraft",,"aquacraft - riccarton park - stage 2"
,,"BH Fixing",,"bh fixing & stopping - riccarton park"
,,"C Lund",,"c lund - kevin hickman (riccarton park)"
,,"Canterbury Scaffolding",,"canterbury scaffolding - kevin hickman (riccarton park)"
,,"Canterbury Continuous Spouting",,"canterbury continuous spouting ltd - riccarton park"
,,"Carpet Court",,"carpet court - riccarton park"
,,"City Decorators",,"city decorators - riccarton park"
,,"Clearwater Construction",,"clearwater - kevin hickman (riccarton park)"
,,"Contego",,"contego - kevin hickman (riccarton park)"
,,"Contract Construction",,"contract - kevin hickman (riccarton park)"
,,"Control Insulation",,"control insulation - kevin hickman (riccarton park)"
,,"Dominion Flooring",,"dominion flooring - kevin hickman (riccarton park)"
,,"Frame",,"frame - kevin hickman (riccarton park)"
,,"FWL",,"fwl - kevin hickman (riccarton park)"
,,"GG Don",,"gg don - kevin hickman"
,,"Glassforce",,"glassforce - kevin hickman (riccarton park)"
,,"H2Off",,"h2off - kevin hickman (riccarton park)"
,,"HARO",,"haro - kevin hickman (riccarton park)"
,,"I Shephard Interiors Limited",,"i shephard interiors limited  - riccarton park"
,,"Johnston Civil",,"johnston civil - ryman riccarton retirement village"
,,"Kings Electrical",,"kings electrical - kevin hickman (riccarton park)"
